Nitrogen,Potassium,Phosphorous,Fertilizer Name
37,0,0,Urea
12,0,36,DAP
7,9,30,Fourteen-Thirty Five-Fourteen
22,0,20,Twenty Eight-Twenty Eight
35,0,0,Urea
12,10,13,Seventeen-Seventeen-Seventeen
9,0,10,Twenty-Twenty
41,0,0,Urea
21,0,18,Twenty Eight-Twenty Eight
9,7,30,Fourteen-Thirty Five-Fourteen
13,0,40,DAP
14,15,12,Seventeen-Seventeen-Seventeen
36,0,0,Urea
24,0,22,Twenty Eight-Twenty Eight
14,0,41,DAP
10,13,14,Seventeen-Seventeen-Seventeen
38,0,0,Urea
21,0,19,Twenty Eight-Twenty Eight
39,0,0,Urea
13,0,36,DAP
10,0,9,Twenty-Twenty
12,14,12,Seventeen-Seventeen-Seventeen
11,0,37,DAP
36,0,0,Urea
13,0,10,Twenty-Twenty
23,0,20,Twenty Eight-Twenty Eight
9,9,29,Fourteen-Thirty Five-Fourteen
38,0,0,Urea
12,0,39,DAP
14,0,13,Twenty-Twenty
24,0,23,Twenty Eight-Twenty Eight
12,0,40,DAP
39,0,0,Urea
7,9,30,Fourteen-Thirty Five-Fourteen
23,0,19,Twenty Eight-Twenty Eight
41,0,0,Urea
8,10,31,Fourteen-Thirty Five-Fourteen
12,0,41,DAP
15,14,11,Seventeen-Seventeen-Seventeen
15,0,37,DAP
13,0,13,Twenty-Twenty
10,7,32,Fourteen-Thirty Five-Fourteen
22,0,24,Twenty Eight-Twenty Eight
35,0,0,Urea
10,0,35,DAP
8,8,28,Fourteen-Thirty Five-Fourteen
12,0,8,Twenty-Twenty
24,0,18,Twenty Eight-Twenty Eight
41,0,0,Urea
5,9,29,Fourteen-Thirty Five-Fourteen
23,0,21,Twenty Eight-Twenty Eight
13,0,14,Twenty-Twenty
40,0,0,Urea
12,0,42,DAP
11,12,15,Seventeen-Seventeen-Seventeen
23,0,24,Twenty Eight-Twenty Eight
38,0,0,Urea
8,0,15,Twenty-Twenty
11,13,15,Seventeen-Seventeen-Seventeen
15,0,37,DAP
36,0,0,Urea
13,0,9,Twenty-Twenty
24,0,20,Twenty Eight-Twenty Eight
5,18,15,Ten-Twenty Six-Twenty Six
37,0,0,Urea
15,0,40,DAP
9,0,13,Twenty-Twenty
8,8,33,Fourteen-Thirty Five-Fourteen
6,19,16,Ten-Twenty Six-Twenty Six
10,0,14,Twenty-Twenty
21,0,23,Twenty Eight-Twenty Eight
39,0,0,Urea
23,0,19,Twenty Eight-Twenty Eight
42,0,0,Urea
13,0,39,DAP
9,10,22,Fourteen-Thirty Five-Fourteen
22,0,21,Twenty Eight-Twenty Eight
10,0,15,Twenty-Twenty
7,16,20,Ten-Twenty Six-Twenty Six
14,0,38,DAP
10,8,29,Fourteen-Thirty Five-Fourteen
41,0,0,Urea
14,0,35,DAP
11,0,9,Twenty-Twenty
21,0,28,Twenty Eight-Twenty Eight
8,7,31,Fourteen-Thirty Five-Fourteen
13,17,16,Ten-Twenty Six-Twenty Six
35,0,0,Urea
12,18,19,Ten-Twenty Six-Twenty Six
